,City,FlightNumber,FlightStatus,OriginAirport,ScheduledTime,AirLine
0,EDDS,EW 6804,Unknown,Palma De Mallorca,2022-06-08 10:25+02:00,Eurowings
1,EDDS,FR 5183,Unknown,Palma De Mallorca,2022-06-08 11:30+02:00,Ryanair
2,EDDS,GFD 41,Approaching,Unknown,2022-06-08 11:49+02:00,GFD
3,EDDS,W6 6617,Unknown,Tirana,2022-06-08 13:30+02:00,Wizz Air
4,EDDS,FR 9211,Approaching,Girona,2022-06-08 15:50+02:00,Ryanair
5,EDDS,W6 7763,Approaching,Skopje,2022-06-08 15:10+02:00,Wizz Air
6,EDDS,FR 9772,Unknown,London,2022-06-08 08:50+02:00,Ryanair
7,EDDS,FR 6117,Unknown,Sofia,2022-06-08 08:10+02:00,Ryanair
8,EDDS,FR 5076,Unknown,Lamezia Terme,2022-06-08 08:45+02:00,Ryanair
9,EDDS,4U 52FP,Arrived,Duesseldorf,2022-06-08 07:18+02:00,Germanwings
10,EDDS,EC 79CX,Arrived,Paris,2022-06-08 07:33+02:00,EasyJet Europe
11,EDDS,EW 2002,Unknown,Stuttgart,2022-06-08 07:40+02:00,Eurowings
12,EDDS,EW 9048,Unknown,Duesseldorf,2022-06-08 07:35+02:00,Eurowings
13,EDDS,LH 170,Arrived,Frankfurt-am-Main,2022-06-08 07:55+02:00,Lufthansa
14,EDDS,LH 1926,Arrived,Munich,2022-06-08 07:35+02:00,Lufthansa
15,EDDS,U2 5674,Unknown,Paris,2022-06-08 07:55+02:00,easyJet
16,EDDS,4U 2002,Arrived,Stuttgart,2022-06-08 07:27+02:00,Germanwings
17,EDDS,CGF 7828,Arrived,Cologne,2022-06-08 06:04+02:00,CGF
18,EDDS,AXA 222,Arrived,Vienna,2022-06-08 08:44+02:00,AXA
19,EDDS,AY 1431,Arrived,Helsinki,2022-06-08 08:25+02:00,Finnair
20,EDDS,DX 121,Unknown,Saarbrücken,2022-06-08 08:10+02:00,Danish Air
21,EDDS,EC 41DX,Arrived,Milan,2022-06-08 08:40+02:00,EasyJet Europe
22,EDDS,EC 72PN,Arrived,Unknown,2022-06-08 08:50+02:00,EasyJet Europe
