,City,Country,ForecastTime,Outlook,Temperature,Clouds,Rain,Snow,WindSpeed,DateInformation
0,Baden-Baden,DE,2022-06-15 12:00:00,clear sky,26.58,2,0,0,2.51,15/06/2022 12:09:46
1,Baden-Baden,DE,2022-06-15 15:00:00,clear sky,27.73,0,0,0,1.53,15/06/2022 12:09:46
2,Baden-Baden,DE,2022-06-15 18:00:00,clear sky,25.32,0,0,0,0.47,15/06/2022 12:09:46
3,Baden-Baden,DE,2022-06-15 21:00:00,clear sky,20.56,0,0,0,2.64,15/06/2022 12:09:46
4,Baden-Baden,DE,2022-06-16 00:00:00,clear sky,19.22,3,0,0,1.92,15/06/2022 12:09:46
5,Baden-Baden,DE,2022-06-16 03:00:00,scattered clouds,17.72,30,0,0,1.69,15/06/2022 12:09:46
6,Baden-Baden,DE,2022-06-16 06:00:00,scattered clouds,21.17,26,0,0,1.89,15/06/2022 12:09:46
7,Baden-Baden,DE,2022-06-16 09:00:00,scattered clouds,24.08,48,0,0,3.03,15/06/2022 12:09:46
8,Baden-Baden,DE,2022-06-16 12:00:00,scattered clouds,27.26,49,0,0,2.98,15/06/2022 12:09:46
9,Baden-Baden,DE,2022-06-16 15:00:00,scattered clouds,28.23,48,0,0,3.56,15/06/2022 12:09:46
10,Baden-Baden,DE,2022-06-16 18:00:00,broken clouds,24.06,66,0,0,1.27,15/06/2022 12:09:46
11,Baden-Baden,DE,2022-06-16 21:00:00,overcast clouds,18.8,95,0,0,1.81,15/06/2022 12:09:46
12,Baden-Baden,DE,2022-06-17 00:00:00,broken clouds,16.63,76,0,0,1.83,15/06/2022 12:09:46
13,Baden-Baden,DE,2022-06-17 03:00:00,overcast clouds,15.97,95,0,0,1.43,15/06/2022 12:09:46
14,Baden-Baden,DE,2022-06-17 06:00:00,overcast clouds,19.24,97,0,0,0.67,15/06/2022 12:09:46
15,Baden-Baden,DE,2022-06-17 09:00:00,overcast clouds,24.28,100,0,0,1.78,15/06/2022 12:09:46
16,Baden-Baden,DE,2022-06-17 12:00:00,overcast clouds,25.97,100,0,0,2.55,15/06/2022 12:09:46
17,Baden-Baden,DE,2022-06-17 15:00:00,overcast clouds,27.57,100,0,0,2.07,15/06/2022 12:09:46
18,Baden-Baden,DE,2022-06-17 18:00:00,broken clouds,24.26,81,0,0,0.85,15/06/2022 12:09:46
19,Baden-Baden,DE,2022-06-17 21:00:00,overcast clouds,19.72,89,0,0,2.4,15/06/2022 12:09:46
20,Baden-Baden,DE,2022-06-18 00:00:00,overcast clouds,18.64,85,0,0,2.11,15/06/2022 12:09:46
21,Baden-Baden,DE,2022-06-18 03:00:00,overcast clouds,18.24,96,0,0,1.65,15/06/2022 12:09:46
22,Baden-Baden,DE,2022-06-18 06:00:00,broken clouds,22.66,62,0,0,0.3,15/06/2022 12:09:46
23,Baden-Baden,DE,2022-06-18 09:00:00,few clouds,28.52,15,0,0,1.69,15/06/2022 12:09:46
24,Baden-Baden,DE,2022-06-18 12:00:00,clear sky,32.58,8,0,0,2.12,15/06/2022 12:09:46
25,Baden-Baden,DE,2022-06-18 15:00:00,clear sky,33.75,0,0,0,2.27,15/06/2022 12:09:46
26,Baden-Baden,DE,2022-06-18 18:00:00,clear sky,28.5,0,0,0,2.11,15/06/2022 12:09:46
27,Baden-Baden,DE,2022-06-18 21:00:00,clear sky,22.68,0,0,0,3.33,15/06/2022 12:09:46
28,Baden-Baden,DE,2022-06-19 00:00:00,clear sky,20.91,0,0,0,2.88,15/06/2022 12:09:46
29,Baden-Baden,DE,2022-06-19 03:00:00,clear sky,19.69,0,0,0,2.2,15/06/2022 12:09:46
30,Baden-Baden,DE,2022-06-19 06:00:00,clear sky,24.98,0,0,0,1.51,15/06/2022 12:09:46
31,Baden-Baden,DE,2022-06-19 09:00:00,clear sky,30.51,0,0,0,3.93,15/06/2022 12:09:46
32,Baden-Baden,DE,2022-06-19 12:00:00,clear sky,33.9,0,0,0,5.76,15/06/2022 12:09:46
33,Baden-Baden,DE,2022-06-19 15:00:00,clear sky,33.83,0,0,0,4.98,15/06/2022 12:09:46
34,Baden-Baden,DE,2022-06-19 18:00:00,clear sky,29.11,1,0,0,2.09,15/06/2022 12:09:46
35,Baden-Baden,DE,2022-06-19 21:00:00,light rain,21.11,37,0.44,0,10.55,15/06/2022 12:09:46
36,Baden-Baden,DE,2022-06-20 00:00:00,light rain,17.0,68,1.75,0,2.12,15/06/2022 12:09:46
37,Baden-Baden,DE,2022-06-20 03:00:00,light rain,17.36,74,1.25,0,3.42,15/06/2022 12:09:46
38,Baden-Baden,DE,2022-06-20 06:00:00,light rain,18.05,71,0.69,0,5.49,15/06/2022 12:09:46
39,Baden-Baden,DE,2022-06-20 09:00:00,light rain,16.82,94,0.5,0,4.24,15/06/2022 12:09:46
40,Berlin,DE,2022-06-15 12:00:00,clear sky,23.59,3,0,0,0.36,15/06/2022 12:09:46
41,Berlin,DE,2022-06-15 15:00:00,scattered clouds,25.07,26,0,0,0.98,15/06/2022 12:09:46
42,Berlin,DE,2022-06-15 18:00:00,broken clouds,24.12,65,0,0,2.42,15/06/2022 12:09:46
43,Berlin,DE,2022-06-15 21:00:00,scattered clouds,18.84,44,0,0,2.61,15/06/2022 12:09:46
44,Berlin,DE,2022-06-16 00:00:00,scattered clouds,16.17,28,0,0,2.23,15/06/2022 12:09:46
45,Berlin,DE,2022-06-16 03:00:00,overcast clouds,14.7,96,0,0,1.83,15/06/2022 12:09:46
46,Berlin,DE,2022-06-16 06:00:00,overcast clouds,16.83,98,0,0,3.52,15/06/2022 12:09:46
47,Berlin,DE,2022-06-16 09:00:00,overcast clouds,21.36,100,0,0,3.92,15/06/2022 12:09:46
48,Berlin,DE,2022-06-16 12:00:00,overcast clouds,24.32,95,0,0,4.23,15/06/2022 12:09:46
49,Berlin,DE,2022-06-16 15:00:00,broken clouds,23.82,71,0,0,5.49,15/06/2022 12:09:46
50,Berlin,DE,2022-06-16 18:00:00,scattered clouds,20.61,39,0,0,4.79,15/06/2022 12:09:46
51,Berlin,DE,2022-06-16 21:00:00,few clouds,16.23,13,0,0,2.82,15/06/2022 12:09:46
52,Berlin,DE,2022-06-17 00:00:00,scattered clouds,14.72,45,0,0,2.23,15/06/2022 12:09:46
53,Berlin,DE,2022-06-17 03:00:00,overcast clouds,13.38,98,0,0,2.37,15/06/2022 12:09:46
54,Berlin,DE,2022-06-17 06:00:00,broken clouds,16.52,82,0,0,3.57,15/06/2022 12:09:46
55,Berlin,DE,2022-06-17 09:00:00,scattered clouds,21.15,29,0,0,3.16,15/06/2022 12:09:46
56,Berlin,DE,2022-06-17 12:00:00,broken clouds,24.78,58,0,0,2.08,15/06/2022 12:09:46
57,Berlin,DE,2022-06-17 15:00:00,overcast clouds,25.52,97,0,0,3.1,15/06/2022 12:09:46
58,Berlin,DE,2022-06-17 18:00:00,overcast clouds,23.76,98,0,0,1.8,15/06/2022 12:09:46
59,Berlin,DE,2022-06-17 21:00:00,overcast clouds,21.85,100,0,0,0.4,15/06/2022 12:09:46
60,Berlin,DE,2022-06-18 00:00:00,overcast clouds,20.95,100,0,0,2.22,15/06/2022 12:09:46
